Leader Name	Nation Name	Alliance	Score
SEALTEAM6	Zion	United Purple Nations	3,536.00
Ren	Flower City	Seven Kingdoms	3,333.50
Baldor	Crystal Lake	United Purple Nations	3,355.00
Vladimir Putin	USSR	Seven Kingdoms	1,170.21
TheBear	Albion	United Purple Nations	2,273.57
Princess Bubblegum	Candy Kingdom	TRUMP 2016	123.25
carvell	carvell	Seven Kingdoms	4,678.00
Goro	Buffalo NY	None	2,252.67
Brooklyn666	Provence	Fix The Damn Game Sheepy	4,250.00
Saeton	Icebergia	Camelot	3,795.00
Bus	Testicula	Advanced Syndicalist Mechanics	4,285.63
ComradeMilton	Tipple Nicklers	None	1,572.45
Prefontaine	Chaos	Yarr	7,430.00
Aesir	Biscotti	Wigglytuffs Guild	1,772.26
Roger Campbell	The Campbell Nation	Rose	4,355.00
Lionstar	Chima	Purple Flower Garden	5,630.00
Jean Parisot	Calradia	Seven Kingdoms	2,233.42
Lyro von Doom	Nero	Seven Kingdoms	2,646.00
Culdee	New Zion	Guardian	5,075.37
McHenry	Wabash	Brotherhood of the Clouds	5,688.46
Warren Harding	Logan	Guardian	4,488.50
Saxplayer	Indo-Froschtia	Rose	4,435.00
Teredona	Kadalle	Rose	4,130.00
John Colman	Dutch Company	Spanish Armada	6,618.75
Ed Piazza	Thuringia-Franconia	None	1,585.65
Redarmy	Syndicates of Pennsylvania	Advanced Syndicalist Mechanics	4,811.00
Seryozha Nikanor	Yuktobanian Republics	Rose	4,642.50
Odin	Nordland	North Point	6,370.00
Emmad	Tazewell	The Syndicate	6,130.00
Richard Smith	Davao del Norte	None	1,962.43
Matityahu Ben Zeev	Israel	Guardian	3,844.45
Fraggle	Fraggle Rock	Groundhog Day	17,975.28
soultak3r1	soultak3r1	New Pacific Order	1,192.03
Ace	300 Spartans	Rose	5,820.00
Comrade Joe	Joe Land	Advanced Syndicalist Mechanics	5,360.00
Hope Solo	Naboo	Spanish Armada	7,570.00
Omega	Aetherstorm	The Knights Radiant	2,513.70
Lord Charlie	Sith Empie	Seven Kingdoms	1,135.04
Foyndal	Elessar Nenharma	Church Of Atom	5,328.00
Harbinger	Harbinger	The Enlightenment	3,590.00
Bambino	Vagary	Church of Spaceology	1,607.21
ciriaco	mang balong	Rose	3,169.91
Ichabod Crane	Sleepy Hollow	The Enterprise	1,769.06
Franz Von Dietrich	Aurburg	None	570.00
Wip	Wippelandia	Church Of Atom	4,162.79
Rosen DJOK	North Bulgaria	Grumpy Old Bastards	2,017.21
Jim Beam	Big Whiskey	Grumpy Old Bastards	6,200.00
Omer Durrani	Pakistan	None	1,540.75
Paul Warburg	International Treasury	The Commonwealth	4,455.80
Apeman	Resistance	The morning after Canada Day	4,228.60
Jaime Lannister	Westeros	Seven Kingdoms	2,352.50
Christian Dahl	Phezzan	Purple Flower Garden	5,506.00
Barry OFarrell	Keram	The Enterprise	3,505.75
Mayor	Calondia	Oblivion	4,584.70
Zafri Zackery	Sweden	The Ampersand	3,718.00
Arkiri Arch	Archeaneya	None	1,117.08
Josh Freer	House Freer	Black Knights	3,542.50
Zhen	Zeon	Yakuza	4,072.62
Clod	State of Crisis	Acadia	5,482.00
Keegoz	Kickass	The Enlightenment	4,737.50
Thomas Meagher	New Ohio Territory	None	1,325.72
Malichy	Glangevlin	United Purple Nations	4,914.00
Aleksandar Aca Vucic	Republic of Serbia	Ustanicka 163	1,526.54
grosskev	New Sturgis	The Ampersand	2,090.23
Erin	Caldo	Advanced Syndicalist Mechanics	3,461.50
Mark III	Kornovia	The Fighting Pacifists	938.00
Weiss Schnee	Remnant	The Enterprise	4,441.73
VonNorman	Normanlandia	None	1,230.00
Spaceman Thrax	Isle of Ignominy	Church of Spaceology	3,417.72
Madden8021	Macworld	None	3,473.83
Voidbringer	Red Lake	None	1,788.30
Utz	United Front	Nova Corp	4,577.50
lostmike	unsc pirates	None	1,191.19
Magnanimus	Bharmal Kingdom	Acadia	2,413.54
Alexandir Lynskov	Nova Scotia	Terminus Est	3,507.00
matt2004	Northumbria	United Purple Nations	3,300.50
Tali	The United Empire	Atlas Technologies	3,882.50
Franz	Wrestlemania	New Pacific Order	1,227.12
Kilauea	Utopiapolis	The Enterprise	4,402.50
Yosodog	Republic of Kool Aid	Black Knights	3,575.00
LordStrum	MSDPRUS Acacia	Black Knights	3,166.00
Tamerlane	Magnificent Khaganate	None	1,414.93
Katie	Tortall	The Syndicate	3,651.85
Josh	Gibraltar	Camelot	2,495.00
Morgrim	Darwi	None	1,175.24
Shadow	Techno Union	Arrgh	1,718.50
Slick Johnson	Slicktenstein	Farkistan	8,265.00
James XVI	Berrean	Empyrea	2,876.00
Korben Dallas	The Fifth Element	Grumpy Old Bastards	3,583.46
Sephiroth	Union CentroAmericana	Grumpy Old Bastards	2,088.55
rapmanej	trolly	The Enlightenment	4,220.00
Thalmor	The Evenstar	Knights Templar	1,916.18
Hodor	Hodor	The Enlightenment	4,560.00
MrBooty	Mongolitana	Rose	5,049.53
Lord of Puns	Ramsk	Nova Corp	2,950.00
Buck Turgidson	Darwinium of Slugs	Yarr	9,584.50
Allilee	Wengland	The Syndicate	5,390.00
Goomy	Goomeria	Church of Spaceology	1,600.01
Cutesiedaisy	Snugglebunny	United Purple Nations	2,290.00
Beowulf	Arkania	Bird Weed	1,343.99
Noreen	Noreenland	United Purple Nations	4,928.75
K Rudd	Anzac	None	1,615.70
Gideon Lorr	Imperius Dominatus	Nova Corp	5,945.00
Kills With Fire	New Highlands	Farkistan	6,150.56
ArcKnox	Outer Heaven	The Golden Horde	2,757.20
Frederick I	The Breton Empire	The Commonwealth	3,826.68
LordRahl2	New Galactic Empire	None	1,070.00
Bollocks	Bollocks	The Syndicate	6,169.50
Raluyen	Stygia	Empyrea	2,434.65
Kraftus	Dept of Defense	Camelot	2,537.00
Ayaz Baig	Republic Of Pakistan	Rose	4,995.00
Chickensguys	Jefferson	Empyrea	3,286.00
Beowulf the Second	Geatland	The Syndicate	2,912.00
Croc Dundee	Aussietopolis	Heroes for hire	531.85
No Man	a Vast Wasteland	Farkistan	2,811.21
Jack Jack	Printerland	The Commonwealth	4,807.50
Deus	Caelum	The Knights Radiant	3,230.25
Optima	Adune	The Knights Radiant	4,610.25
Cheedows	Union of Proletariat Cheese	Black Knights	1,436.05
Snuffles	Azkaban	None	1,188.30
Jigglypuff	Bharatha Kandam	Arrgh	1,445.48
Nintendo	Nintendo Land	World Task Force	3,838.75
Piast	Kingdom of Kalisz	The Commonwealth	4,090.00
Lord Lewis IV	Ingham County	None	1,593.65
jekalle	Ranus	None	1,030.84
evulfuson	Vladland	World Task Force	9,463.66
Ronald I	Allmenia	The Commonwealth	4,238.75
Ajax	Sybaris	Grumpy Old Bastards	6,390.00
Senatorius	Nova Utopia	Grumpy Old Bastards	5,792.50
Keith Abela-Wadge	Man Utd	World Task Force	5,125.00
Johnemann	Johnemania	World Task Force	7,117.50
Explodingheads11	United European Fatherlands	The Fighting Pacifists	6,659.00
Jose Rodriguez III	Free Squirrel Republic	Black Knights	1,928.00
MIBHG	MIBHG Country	World Task Force	3,131.25
Vosunda	Shikoinij	Sparta	1,490.01
Bud	Cherek	Acadia	2,900.44
General	Nuclearia	None	1,586.21
Bloody Boatmen	Refugio Boatnaparte	The Commonwealth	5,505.00
Klemens Hawicki	Poland	The Syndicate	3,480.00
Lixon	Baltic States	The Commonwealth	5,005.00
James II	TIEIXIAIS	Church Of Atom	5,015.00
Luke the 13th	Pizzaland	Church of Spaceology	2,535.00
Sisyphus	Ephyra	The Firm	4,258.50
Liam	Kingdom of the Isles	Seven Kingdoms	1,327.05
Primivelec	Evetura	The Commonwealth	3,306.25
Dorsaiwolf	Dargole	The Knights Radiant	4,387.75
Stadius	ReFlex	Solar Knights	2,402.52
Thomas	Switzerland	Rose	3,844.24
Lelouch Vi Britannia	The Holy Britannian Empire	Black Knights	1,632.67
Lordship	Jah Keved	The Knights Radiant	3,668.75
Daeg	Bacon	None	1,054.11
Ryan II	Wendot	Church Of Atom	5,211.03
Seb	Emerald Bank	Yarr	8,430.00
Them	There	Black Knights	2,688.00
Akash	Champions	The Knights Radiant	3,946.25
Cicero	Deviluke	Grumpy Old Bastards	4,063.71
Lucas	Wakanda	The Enterprise	4,102.50
Zuler	Carpathia	Seven Kingdoms	4,134.41
Hayley	Hayleys Kingdom	Schrute Farms	8,215.00
Maverick0984	Affluence	Farkistan	7,490.00
William of Cobden	The Puryan Order	Acadia	3,321.00
Brittain	Brittain	None	1,538.01
manas	odisha	Camelot	3,393.50
Cassandra	Gulagistan	The Commonwealth	4,192.84
zigbigadorlou	Zigbigadorlou	Grumpy Old Bastards	3,726.40
BlackAsLight	Native Australians	The Knights Radiant	3,712.50
Abu Muthanna	Arabia	Solar Knights	1,846.84
Roger	Suomi Karelia	None	1,440.88
Psweet	Order of the Tree	Chocolate Castle	2,410.00
CJonathan	CJonathan	Dark Brotherhood	3,409.29
Walling	Thorpistan	The Knights Radiant	3,063.00
Peter Quill	Goand	Church Of Atom	1,166.32
Mark M	Markchestria	None	1,195.20
Milord	Lusitacvs	The Knights Radiant	827.95
Durmij	Fallen London	Advanced Syndicalist Mechanics	3,442.56
Angelic III	Mammo	Seven Kingdoms	3,522.00
Sval	Yukikuni Protectorate	Order of the White Rose	4,270.00
God	Naval Central Union	Seven Kingdoms	2,853.07
Ibrahim al-Qurashi	Islamic State	The Caliphate	1,372.45
Augustus Caesar	Archiana Republic	The Knights Radiant	3,693.75
President Tom	Confederate States	United Purple Nations	4,252.50
Dakota	Anglo American commonwealth	Knights Templar	1,884.62
Tapley	Llamastan	World Task Force	5,107.50
Tyras Calidan	RS Dynasty	Carthago	3,221.50
Ungawa Jones	Obrii	The Knights Radiant	1,210.00
Celess	Celess Mob	Polaris	3,993.91
Draeg	Anuire	The Syndicate	4,551.25
Republic of Cascadia	Augustania	Guardian	4,631.00
Dismal	Dismalia	None	1,607.42
Inconnu	Inconnue	Grumpy Old Bastards	5,560.00
Anonymous	The Union of East Asia	None	870.03
Sir Fox	Empire of the Iron Throne	None	1,247.22
Lank	Putinia	Oblivion	3,185.00
Park	saudi-sparta	Oblivion	1,199.65
Carnage	Delain	The Knights Radiant	1,145.21
Joshua Keller	Balish	The Enlightenment	1,338.02
Tamer	Pleiades	Grumpy Old Bastards	5,945.00
John Domino	The Dominion	The Knights Radiant	4,016.25
FrontSaturn	Kabr	Empyrea	1,206.43
Durham	Zirkazh	The Knights Radiant	2,885.00
Johan	Erland	The Fighting Pacifists	5,181.00
DWag	Allied States of America	The Commonwealth	5,566.10
Merik	Panamkey	House Stark	3,909.90
Nox	Eternal Empire	House Stark	3,114.75
japan77	Terminus Est	The Knights Radiant	2,873.00
Plazma	Helheim	None	750.05
Hahiha	Soviet Socialist Republicans	The Enlightenment	2,565.00
Kamena	Imperium Of Kamena	World Task Force	6,762.00
Kennylim	Singaporean	None	2,774.09
HoffaKnows	Illuminatus	Rose	4,910.00
Borge Johannessen	Svalbard	The Commonwealth	4,035.00
Erios	Seven Cities	Empyrea	2,910.00
gilesy1	Brith	Terminus Est	6,953.75
Pbaff	RuntMutLend	Dark Brotherhood	4,498.00
Windseeker	Valtasia	North Point	3,684.00
Khun	Deathrattle	Grumpy Old Bastards	1,438.32
Amara Badu	Angolia	The Syndicate	4,061.25
DemonSpawn	Northen Liberties	The Ampersand	2,683.40
Gorthor	Middenhiem	None	300.00
Ramar	Ralu	Weebunism	3,354.30
ISmellLikePasta	NCRC	Empyrea	2,101.61
AtlasZX	Santa Rosa	The Commonwealth	3,339.94
Schirminator	Viridian Entente	Banana Stand	4,180.00
Ephor	Arilogo	None	1,066.33
Bran Stark	House Tyrell	The Enterprise	4,440.00
Joseph Stalin	Garnare	Pantheon	1,693.57
Naruu	Belgica	Camelot	3,167.68
Asdrubal	Tridema	None	1,424.87
Johnap88	Olivian	The Syndicate	4,671.25
Von daasbjerg	Daniski	None	327.74
Atempt	Atempt	Guardian	3,690.00
TurtleByte	Karn	House Stark	1,187.29
Dark Lord	Kingdom Of Dark	The Knights Radiant	5,151.50
Kija Van Falsavior	Krenaa Dominion	Yarr	6,270.50
War Hawk	Imperialism	Grumpy Old Bastards	5,242.00
Aeryie	Caladonia	Rose	4,010.00
Eva-Beatrice	Rokkenjima	The Commonwealth	3,280.00
Alexio15	Dehydra	The Ampersand	3,256.50
Ridcully	Arcania	Wizards Citadel	5,195.00
Adrien Arcand	Nationalist Canada	World Task Force	4,742.53
Boss Steel	Nationalist Soviet Republic	None	414.91
AkAk	Ak-Dovurak	Terminus Est	9,178.25
Lorico	Axios	Order of the White Rose	3,690.00
Vack	Galactic Empire	Rose	3,920.50
Who Me	Dont Know	Purple Flower Garden	6,655.00
Kosonome	Cloud Nation	The Knights Radiant	4,676.25
Quinn	The Red Imperium	North Point	3,368.00
Vexz	Aneles	Rose	4,150.00
Acey	Torterra	Acadia	3,210.00
Louis Balfour	Thames Confederacy	Orange Defense Network	1,526.65
-Bradley-	The Great British Empire	Seven Kingdoms	3,871.25
Kongen	Frontline	Polaris	1,492.89
Zaxon	Kingdom of Gilboa	The Knights Radiant	4,110.00
Beatrix Kiddo	VIPER	None	1,264.41
ForgotPants	NoPantsistan	Empyrea	3,463.00
Kriegskoenig	Kriegstaat	PolarFreeze Icehouse Redux	3,538.86
Sven Shieldmaker	The Shieldlands	The Commonwealth	237.28
Bryant	Rose Republic	The Syndicate	2,686.59
St Jean Faptiste	Classique Quebec	Orange Defense Network	2,190.69
Insert Name Here	Clogged Up Toilet	Oblivion	4,860.62
Fritzz	The North Manor Estates	None	2.75
Kelsi	Kingdom of Luviel	The Void Touched	2,818.50
kosmokenny	Kosmonia	World Task Force	5,810.00
Jules Marcel de Cape	Afrique francaise	None	349.64
BlaCkAssOs	CelestialDream	Grumpy Old Bastards	3,020.53
Verin	Libaria	Misaka Mikoto Fan Club	679.82
Boki	South Yorkshire	None	1,241.27
Turner	Republic Of Ontario	None	1,335.53
EliteCanada	Drenai	The Syndicate	3,589.50
Niklas	Denmark Ag	Spanish Armada	6,343.75
Athalbrandr	Varangia	Polaris	3,370.00
Trajan	Roman Empire	Ming Empire	4,394.50
Mr Pasta	Pastaland	World Task Force	3,980.00
Delacroix	Enerel	Order of the White Rose	1,271.24
Justin076	Kingdom of Cape Breton	The Syndicate	4,027.50
Infice	Temuair	None	1,159.52
Nalyssa	Toriq	The Commonwealth	3,650.00
Vladimir V Putin	GLORIOUS RUSSIA	Empyrea	2,470.00
sgj1821	Evopia	Umbrella Corporation	1,099.35
Terlin	Teloka	Respublica Romana	7,187.00
Matrix	Valeria	United Socialist Nations	2,105.88
Sphinx	Tsardom of Slavia	The Commonwealth	7,815.00
Carl Barrett	Novistan	United Socialist Nations	1,354.20
New Suleiman	Kebab	The Immortals	2,562.50
chairmanwei	Handor	Ming Empire	942.27
Euphemia	Wiper	Holy Britannian Empire	1,003.10
Penguin	Evergreen Republic	Empyrea	2,206.00
-Jack-	Commander Jack-s Military	None	1,212.03
Cobber	Antipodea	Morningstar	3,362.75
Vojasker	Jurvania	The Fighting Pacifists	5,456.00
Albert Wily	Wilys Robotic Armada	None	408.24
Professor Sergio	Sergio clones Empire	The Commonwealth	2,416.93
Sketchy	Cyrodiil	North Point	4,007.50
Fulcrum	New Mandalore	The Ampersand	2,635.20
Bubba	Bubbalania	World Task Force	1,604.91
King	Democratic Elbonia	Guardian	3,335.00
Cracov	Scotland	Aurora	1,248.25
Monstrosity	Monstrosityville	Seven Kingdoms	1,055.10
Zebulon Kovich	The Isles of Dixie	The Fighting Pacifists	839.97
KillzBob	ExLt Nation	Knights Templar	1,447.27
Phino	Rebel Heaven	Arrgh	1,946.70
de quan	flames	The Lost Empire	2,016.51
Amaryllis	Wintery	None	1,075.94
Hector	Ariassa	Seven Kingdoms	2,720.50
Plato	Ostalithos	None	1,294.74
RightHonorable	State of Czechia	The Commonwealth	3,742.97
Xenuis	Feruio	Seven Kingdoms	3,565.50
Nived Ecirp	Hienesteine	Aurora	1,999.45
Madokami	Holy Meguca Meduka Empire	Weebunism	3,185.55
Rozz	Best Australia	Rose	4,016.00
Sertorius	Eire	The Syndicate	4,864.50
Raven	Allied States	The Knights Radiant	1,196.70
Miss Cake	Hydraxis	The United Empire of ZahAharon	2,392.72
Comrade TCB	United Soviet States Siberia	United Socialist Nations	1,118.10
Hui	Hothf	The Enlightenment	2,762.50
Micchan	Yuru Yuri	The Knights Radiant	3,698.75
J D Keller	Ellingard	Vereenigde Oostindische Compagnie	2,645.00
Jhon Pete II	Republic of Sparta	None	1,069.43
CrispyGeneral	United Nations	None	452.54
Murkanairy	United Kingcum	Rose	1,541.82
Beta Panda	Beta Panda	Black Knights	2,615.00
Jerax	Crapland2	Bird Weed	1,907.52
Therana Athulis	Second Empire	The United Empire of ZahAharon	1,250.26
Bluebear	Zamonia	Arrgh	1,740.55
Revan	Taris	The Fighting Pacifists	1,840.50
Rnar	Theocyn	Black Knights	1,283.59
Roman	Dagestan	None	1,332.63
John Logs	Geoglia	The Fighting Pacifists	2,831.50
Lunchbox	Lunchboxistan	The Knights Radiant	3,058.00
Darth Revan	Old Republic	The Syndicate	3,891.25
Julian Rederic Gray	Helios republic	The Commonwealth	3,772.50
Victor Lima	Cannabis Confederation	Deathly Hallows	3,306.33
Paston	Mensent	Goon Squad	2,828.10
Zanure	Universal Chaos	House Stark	3,265.25
Razor	Batavieren	The Knights Radiant	1,937.00
Diamond	Blue Hill	The Enterprise	3,046.00
Ryareos	Old Men	Knights Templar	1,547.09
BoYcEe	OHHPLZ	None	1,599.75
Yir Yoronti	Yirlandia	The Knights Radiant	4,940.00
Xonera	Dark Crystal	Goon Squad	2,940.00
Jangles	Good Hope	Arrgh	1,419.67
Maia	Bamika	Aurora	3,806.00
sniperwhg	Taiwan	Respublica Romana	7,103.00
Theo	Werren	League of Democratic Nations	716.68
Rimski	DJ Krmkoania	None	1,076.63
haydentoo	histenia	Oblivion	3,320.00
xSTRYKAx	Catikstan	The Commonwealth	4,840.00
Lexus Belli	Denestra	United Purple Nations	3,000.00
Kero Quest	Mayana	Ming Empire	3,229.50
Supreme Wolf MT	Kingdom of Montenegro	North Point	1,586.85
SirPotatoes	Capistan	None	630.00
Charlotte Adelgonde	Grand Macika	None	920.24
rollo	Waffle House	Church Of Atom	4,065.00
Napkin	Van Diemans Land	World Task Force	7,590.00
Fluttershy	Shadow Company	North Point	3,125.00
Xaiwan	Xaipei	None	710.01
Honu	The Northern States	World Task Force	5,302.77
Jarles	Acinad	Rose	2,929.50
Boyce the Great	Empire	Terminus Est	8,370.00
fdas	Pobia	Rose	3,477.50
Keenan Allan	Zerigner	None	983.46
Yugi Romande	Vaukria	Seven Kingdoms	2,824.00
Ivan Petrov	Australia Peoples Republic	Aurora	3,207.00
Toshiro Mifune	Redne	Terminus Est	4,912.00
Damian	United Kingdom of America	None	680.00
Brosef Stalin	Rahgdeeal	Yakuza	4,247.00
Cjfly	Acanadian	Respublica Romana	8,110.03
WSxPhoenix	Phoenixia	PolarFreeze Icehouse	3,872.45
Carl Sagan	Callisto	World Task Force	9,680.00
Filmore	Nightmare of Dreamcatcher	The Ampersand	3,422.00
Villain	Tanzalore	The Commonwealth	2,700.00
Raine	Sea of the tormented Star	Rose	3,334.45
Olenak	Patagonia Republic	None	1,155.26
Democratic Pakistan	Democratic Pakistan	Camelot	2,420.50
Pheonix	Pheonix	Black Knights	2,965.00
Alexia	The Empire of Alexiamia	Polaris	1,341.74
Ballard	Sarkhan	House Stark	3,084.91
Biel	Talos	Black Knights	2,745.50
Fiji God	New star	The Enterprise	3,082.50
whizzy	Regent hills	Cahmei	4,813.00
Lamort	Shadowhaven	The Knights Radiant	1,216.11
Angry	meaucountry	None	1,091.67
Tehcookie	Cookieland	None	1,692.04
Simon Bolivar	Zapatistas	None	1,988.59
Jroc	Elbonia	House Stark	1,588.24
Himel Hassan	Bangladesh101	Frontier Records	1,051.57
Alkeios Demokritus	Arachosian Republic	None	533.47
Wyatt Half-Hand	Greater Antoria	Pantheon	1,459.37
Ivan	Eagle Union	The Commonwealth	3,347.50
RedFive	RedFivia	The Knights Radiant	2,647.80
FDR82	Echo Plex	United Alliance for Freedom	1,557.00
Smith	Simple	The Knights Radiant	4,031.25
The Boofinator	Cow Haven	Horsemen	2,814.50
Tyler	Democratic republic of Anich	None	1,725.96
Chidz	Athenia	Gentlemens Gaming and Fisticuffs Union	540.00
Wilhuff Tarkin	United Nations of Earth	None	1,411.12
Capybara	Central African Union	None	2,695.88
Ranger	Southern Confederates	The Enlightenment	527.19
Joel James	West India	Black Knights	3,362.50
KiWilliam	Horizon	Solar Knights	3,165.68
Arthur Pendragon	New Switzerland	The Knights Radiant	2,595.00
Burnside	Sungotna	None	554.77
Jared95	Liberty	United Purple Nations	4,481.50
Douglas MacArthur	America V2	Camelot	2,812.50
Aleksandr XI	RS Russia	Demacia	1,458.34
The Royalist	Roah	Empyrea	2,851.65
Pubstomper	Chemistry	Rose	3,386.65
bunnet	Kilmarnock	Rose	3,346.90
Malleator	Mechanicus	The Commonwealth	3,530.00
Tifa Lockhart	7th Heaven	Oblivion	3,575.00
Mason Aaron	Kamakazia	The Commonwealth	2,522.88
Danial	Gracemeria	None	1,089.70
Soter	Kingdom of Svearmark	Camelot	1,133.96
Daniel Taylor	West Tuddenham	Orange Defense Network	1,105.51
flyboy	LittleEgypt	The Commonwealth	2,700.00
SOVIET UNION	Soviet Union CCCP	The Enlightenment	1,006.03
Rejs	Rotputinoj	None	1,270.00
Rafael Casanova	Catalonia	None	1,773.29
Marianna	Mescorth	The Knights Radiant	2,780.00
Andreas Hofer	Tyrol	None	1,100.73
Victorystar	Pacific Confederation	The Fighting Pacifists	2,888.50
Syrano	Nation_State	Nova Corp	4,770.00
John Maynard Keynes	Keynesian	Terminus Est	5,224.50
Enjgine	Commonwealth of Australia	House Stark	3,891.00
Gonzalo	Great Novotnia	Order of the White Rose	2,054.12
potato	golden goose	Rose	3,457.50
Justin W	Wise	None	166.79
Simba	Peoples Republic of Congo	Schrute Farms	3,580.35
Russell	Russelltopia	The Global Union	1,419.97
Bobby0110	Atlandis	Gentlemens Gaming and Fisticuffs Union	2,830.52
Blackatron	Frankfurtia	House Stark	3,217.50
Anthony Barker	The Union of Free Men	Orange Defense Network	3,254.50
Tabarnak Johns	Abernathia	None	1,318.16
Ling Yang	Xing	The Global Union	1,478.70
RomulusTheFirst	The Lands of Rome	Terminus Est	3,360.00
Matthew Jordan	California	None	464.60
Death	Hades	Horsemen	3,231.25
Sorenia	Altissia	The Knights Radiant	1,955.00
Barry Allen	The Regime	Polaris	2,980.60
Palpatine	The Galactic Republic	Rose	3,359.00
Lucifer	Hell	None	1,282.38
San Fortunado	Name Country	Rose	2,930.00
Wulfharth	Veyshnoria	None	2,140.59
Ripper	Graveland	Arrgh	5,243.90
Yarr	Yarr	None	928.83
Epimetheus	Prometheus	Camelot	3,445.00
Sylar	East Alaska	Acadia	1,628.28
Eldgrid Ferdinand	Entania	United Purple Nations	952.77
Sheep	EstofWings	None	511.40
Dustin Albright	The United States Of Lorhill	Camelot	2,246.23
Francis Underwood	House of Cards	Dark Brotherhood	3,792.00
ReuKinChe	Reubenia	The Commonwealth	3,082.50
Zango	The New Russian Federation	Order of the White Rose	1,446.77
Frelinerit	Frelinatia	The Syndicate	3,922.50
Daveth	Drindalia	Carthago	2,873.50
BenBojac	BOJAC	None	840.01
Agent Zero	Zekaron	IronFront	2,546.28
Tanner	Alexs Bae	Knights Templar	790.83
Max Power	Mianus	World Task Force	4,070.00
Adrienne	Nazara	The Knights Radiant	3,932.90
Bright	Kekistani	The Lost Empire	1,138.66
El Magico	JoystVanDyke	The Commonwealth	2,996.50
OsRavan	OsRavania	Orange Defense Network	4,886.50
Solomon Sorrd	Akkara	Empyrea	1,872.00
Franziskaner	Spaten	Orange Defense Network	1,325.50
MinesomeMC	Polish Empire	Golden Phoenix Coalition	2,068.42
Jimmy the Cat	Catbutt	Respublica Romana	4,802.38
Leebster	Leebster Land	Orange Defense Network	1,230.09
Nikolay	Gopnikland	Orange Defense Network	1,374.74
Juan Itor	New New Mexico	None	363.78
Tulip	Stratton Oakmont	Yarr	8,277.50
entwood	Entland	Orange Defense Network	2,960.00
sirgogobeans	Mudkipville	United Purple Nations	2,310.75
Ryebread	Breadland	Black Knights	2,689.50
Euphorical	Stray Kids	Ming Empire	1,489.64
Arodion	Tyrellia	The Ampersand	2,392.19
Williarsk	The Black Flag	Arrgh	707.98
Rotrules1234	Rotaris Imperius	House Stark	3,440.00
AwesomeNova	Nova Empire	Ming Empire	4,143.00
Bopolo	Dunkingham	Why cant we be friends	4,666.10
Rocket23	Pandorax	Demacia	1,241.90
Doctor Famine	Syxteria	Horsemen	7,115.00
Johnny Costello	Dunder Mifflin	None	1,373.23
Kleo Neferanzus Azu	Qora	Order of the White Rose	3,787.00
Gorgothina	Atrascan	The Syndicate	2,042.54
Tevron	Devion	The Ampersand	966.85
Leonidas	Greek Republic	The Immortals	2,278.50
Darsh	India	Camelot	3,050.00
Zephyr	Typhon	Valhalla	239.70
Anneal	Thestral Directorate	North Point	3,439.50
Giorgi Bagrationi	Georgia	The Syndicate	3,175.00
Greypher	Gensokyo	Order of the White Rose	2,749.10
Static	Fiveland	The Syndicate	4,072.50
